trial,selected_indicators,final_balance
0,"['ema', 'wma', 'tema', 'cci', 'roc', 'mom', 'mfi', 'adx', 'atr', 'obv', 'rsi', 'macd', 'bb_mid', 'bb_lower', 'ht_trendline', 'mama', 'fama', 'sar_ext', 'midprice', 't3', 'apo', 'aroon_up', 'aroonosc', 'cmo', 'dx', 'macdext', 'macdsigext', 'macdhistext', 'macdsigfix', 'macdhistfix', 'minus_di', 'plus_di', 'rocr', 'stochrsi_k', 'willr', 'ht_dcphase', 'ht_phasor_in', 'ht_leadsine', 'ht_trendmode', 'avgprice', 'medprice', 'typprice', 'wclprice', 'beta', 'correl', 'linearreg', 'tsf', 'var']",1012.9
1,"['dema', 'ema', 'tema', 'kama', 'roc', 'mom', 'adx', 'atr', 'obv', 'rsi', 'macd', 'stoch_k', 'bb_mid', 'mama', 'sar_ext', 'midprice', 'adxr', 'apo', 'aroon_down', 'aroon_up', 'aroonosc', 'macdsigext', 'macdhistext', 'macdsigfix', 'minus_dm', 'plus_di', 'plus_dm', 'rocp', 'rocr', 'stochf_d', 'stochrsi_k', 'trix', 'ht_dcperiod', 'ht_phasor_in', 'avgprice', 'wclprice', 'natr', 'trange', 'beta', 'correl', 'linearreg_angle', 'linearreg_intercept', 'linearreg_slope', 'tsf']",1012.9
2,"['dema', 'sma', 'ema', 'wma', 'trima', 'cci', 'roc', 'mom', 'adx', 'macd_sig', 'stoch_d', 'bb_mid', 'mama', 'sar', 'sar_ext', 'midpoint', 'midprice', 'apo', 'aroon_down', 'aroon_up', 'cmo', 'dx', 'macdsigext', 'macdfix', 'macdhistfix', 'minus_di', 'plus_di', 'plus_dm', 'rocp', 'rocr', 'stochf_k', 'stochrsi_d', 'trix', 'ad', 'ht_dcphase', 'ht_phasor_in', 'ht_sine', 'typprice', 'natr', 'correl', 'linearreg', 'linearreg_intercept', 'linearreg_slope', 'tsf', 'var']",1012.9
3,"['sma', 'trima', 'cci', 'roc', 'atr', 'adosc', 'rsi', 'macd', 'macd_sig', 'stoch_d', 'sar', 'sar_ext', 'midpoint', 'adxr', 'aroon_down', 'aroon_up', 'aroonosc', 'dx', 'macdext', 'macdsigext', 'macdhistext', 'macdhistfix', 'minus_dm', 'plus_dm', 'stochf_d', 'stochrsi_k', 'trix', 'ultosc', 'willr', 'ht_sine', 'ht_leadsine', 'avgprice', 'medprice', 'trange', 'tsf']",1015.29
4,"['dema', 'ema', 'wma', 'tema', 'trima', 'cci', 'mfi', 'adx', 'stoch_k', 'bb_mid', 'bb_lower', 'sar', 'midprice', 't3', 'adxr', 'aroon_down', 'dx', 'macdext', 'macdfix', 'macdhistfix', 'minus_di', 'ppo', 'rocp', 'rocr', 'stochf_d', 'trix', 'ht_dcperiod', 'ht_dcphase', 'ht_phasor_quad', 'ht_sine', 'ht_leadsine', 'natr', 'trange', 'linearreg', 'linearreg_slope', 'stddev', 'tsf']",1012.9
5,"['ema', 'wma', 'roc', 'obv', 'macd_sig', 'bb_upper', 'bb_lower', 'ht_trendline', 'fama', 'midprice', 'apo', 'bop', 'cmo', 'macdsigext', 'minus_dm', 'plus_dm', 'rocp', 'rocr', 'rocr100', 'stochf_d', 'trix', 'ultosc', 'ht_dcphase', 'ht_phasor_in', 'ht_phasor_quad', 'ht_leadsine', 'ht_trendmode', 'avgprice', 'medprice', 'typprice', 'wclprice', 'natr', 'linearreg']",1012.9
6,"['sma', 'wma', 'kama', 'cci', 'mfi', 'atr', 'obv', 'stoch_k', 'bb_upper', 'bb_lower', 'mama', 'midpoint', 'aroonosc', 'cmo', 'dx', 'macdext', 'macdhistfix', 'minus_di', 'ppo', 'willr', 'ad', 'ht_dcperiod', 'ht_dcphase', 'ht_phasor_in', 'ht_phasor_quad', 'ht_sine', 'ht_leadsine', 'ht_trendmode', 'avgprice', 'wclprice', 'linearreg', 'linearreg_slope', 'stddev']",1021.55
7,"['dema', 'sma', 'ema', 'wma', 'cci', 'atr', 'obv', 'adosc', 'macd', 'macd_hist', 'stoch_k', 'bb_upper', 'bb_lower', 'ht_trendline', 'fama', 'midprice', 'apo', 'aroon_down', 'cmo', 'dx', 'macdext', 'macdsigext', 'macdhistext', 'macdfix', 'macdsigfix', 'minus_di', 'plus_di', 'plus_dm', 'ppo', 'rocp', 'rocr', 'rocr100', 'stochf_k', 'stochf_d', 'ultosc', 'willr', 'ad', 'ht_dcperiod', 'ht_phasor_in', 'ht_sine', 'typprice', 'wclprice', 'beta', 'linearreg', 'linearreg_angle', 'stddev', 'tsf', 'var']",1014.29
8,"['dema', 'sma', 'ema', 'tema', 'kama', 'cci', 'roc', 'mom', 'adosc', 'macd', 'macd_hist', 'bb_mid', 'bb_lower', 'sar', 'midprice', 'adxr', 'aroon_down', 'macdext', 'macdhistext', 'minus_di', 'minus_dm', 'plus_dm', 'ppo', 'stochf_k', 'stochrsi_k', 'stochrsi_d', 'ht_dcphase', 'ht_phasor_in', 'ht_sine', 'ht_leadsine', 'ht_trendmode', 'natr', 'linearreg_angle', 'stddev']",1019.2
9,"['dema', 'sma', 'tema', 'cci', 'roc', 'adx', 'obv', 'adosc', 'macd_sig', 'ht_trendline', 'fama', 'sar', 't3', 'apo', 'aroonosc', 'bop', 'cmo', 'macdext', 'macdhistext', 'macdsigfix', 'minus_di', 'plus_di', 'plus_dm', 'ad', 'ht_dcperiod', 'ht_phasor_in', 'ht_sine', 'ht_leadsine', 'medprice', 'typprice', 'trange', 'beta', 'correl', 'linearreg', 'linearreg_angle', 'linearreg_intercept', 'linearreg_slope', 'tsf', 'var']",1015.64
